,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Attack Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed,Virtual Defense Speed
CH,6,CH06,Censor,"Censor-class Linebreaker. Effective against capital ships with weapon batteries including 50kg, 100kg, 1/2kt.",TT,234,11.69,64,3,5,3,,,,,,,,,,8,8,12,,,,,,,,,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CH,7,CH07,Vindex,"The Vindex-class serves within the carrier doctrine within fleet formations. Armament such as 2.5cm, 4.5cm, 6.5cm allows it to destroy light cruisers.",CL,196,9.80,64,3,5,3,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,0,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CH,8,CH08,Gladius,"A carrier platform used when fleets must defeat destroyers and smaller quickly, relying on 10cm, 14cm.",DD,197,9.85,64,4,5,3,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,24,12,0,0,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CH,9,CH09,Pilum,"Pilum-class Assault. Effective against destroyers with weapon batteries including 4.5cm, 6.5cm.",DD,196,9.80,64,3,5,3,,2,2,,0,,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CH,10,CH10,Falcata,"The Falcata-class operates under the assault doctrine within fleet formations. Armament such as 4.5cm, 6.5cm allows it to pressure destroyers.",DD,196,9.80,64,3,5,3,,2,2,,,,,,,,,,,18,,,,,,,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CH,12,CH12,Aquila,"A heavy vessel hunter platform used when fleets must defeat light cruisers quickly, relying on 6.5cm, 14cm, 20cm.",CL,198,9.89,64,4,5,3,,,3,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CL,1,CL01,Falco,Falco-class Carrier. Effective against destroyers with weapon batteries including 4.5cm.,DD,52,2.60,16,0,5,5,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,5.0,5.0,4.0,1.3,3.5,8.0,3.0,6.0,6.0,5,5,6,5.5,3.5,5.0,5.5,4.0,4.0
CL,2,CL02,Neptune,"Trading weapons, combat agility and armor for versatility and survey, the Neptune-class serves as a lighter exploratory vessel. ",CL,52,2.62,16,0,6,2,2,,,2,0,0,0,0,0,0,0,0,0,,1,1,6,1,0,0,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
CL,3,CL03,Gryphus,"A carrier platform used when fleets must defeat heavy fighters and gunships quickly, relying on 2.5cm, 4.5cm.",FH,52,2.60,16,1,6,5,4,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5.0,5.0,4.0,1.3,3.5,8.0,3.0,6.0,6.0,5,5,6,5.5,3.5,5.0,5.5,4.0,4.0
CL,4,CL04,Lupus,"Lupus-class Heavy vessel Hunter. Effective against Light armored vessels with weapon batteries including 2.5cm, 10cm, 28cm.",CL,53,2.65,16,1,6,5,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,4.0,1.3,3.5,8.0,3.0,6.0,6.0,5,5,6,5.5,3.5,5.0,5.5,4.0,4.0
CL,5,CL05,Vulcan,The Vulcan-class  light carrier relies on screening from lasers to deliver heavy missile fire to capital ships.,BB,62,3.12,16,1,6,4,,,,,,,,,,,3,4,,,,,,,,,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
CL,6,CL06,Mercury,"A linebreaker platform used when fleets must defeat capital ships quickly, relying on 50cm.",BB,53,2.67,16,1,6,3,,,,,,,,2,,,,,,,,,,,,,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CL,7,CL07,Draco,"Draco-class Heavy vessel Hunter. Effective against Light armored vessels with weapon batteries including 10cm, 14cm.",CL,53,2.65,16,1,6,5,0,,0,2,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,4.0,1.3,3.5,8.0,3.0,6.0,6.0,5,5,6,5.5,3.5,5.0,5.5,4.0,4.0
CL,8,CL08,Janus,"The Janus-class serves within the assault doctrine within fleet formations. Armament such as 4.5cm, 6.5cm allows it to pressure destroyers.",DD,52,2.60,16,4,6,2,,1,2,,,,,,,,,,,4,,,,,,,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
CL,9,CL09,Minerva,"A assault platform used when fleets must defeat destroyers and smaller quickly, relying on 4.5cm, 6.5cm.",DD,52,2.60,16,4,6,2,,1,2,,,,,,,,,,,,4,,,,,,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
CL,10,CL10,Bellator,"Bellator-class Assault. Designed to counter destroyers with weapon batteries including 4.5cm, 6.5cm.",DD,52,2.60,16,,7,2,,1,2,,,,,,,,,,,,2,2,,,,,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
CL,11,CL11,Vigil,"The Vigil-class serves within the heavy vessel hunter doctrine within fleet formations. Armament such as 4.5cm, 14cm, 28cm allows it to pressure light cruisers.",CL,53,2.67,16,1,6,4,,1,,,2,,1,,,,,,,,,,,,,,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
CL,12,CL12,Custos,"A carrier platform used when fleets must defeat light cruisers quickly, relying on 10cm.",CL,52,2.62,16,1,6,5,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5.0,5.0,4.0,1.3,3.5,8.0,3.0,6.0,6.0,5,5,6,5.5,3.5,5.0,5.5,4.0,4.0
CL,13,CL13,Victor,"Victor-class Assault. Effective against destroyers with weapon batteries including 2.5cm, 4.5cm.",DD,52,2.60,16,3,6,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,8.0,6.4,2.0,5.6,20.0,4.8,9.6,9.6,8,8,10,11.2,5.6,8.0,11.2,6.4,6.4
CL,14,CL14,Fortis,"The Fortis-class serves within the assault doctrine within fleet formations. Armament such as 2.5cm, 4.5cm, 6.5cm allows it to pressure destroyers.",DD,52,2.60,16,3,6,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,4.0,1.3,3.5,8.0,3.0,6.0,6.0,5,5,6,5.5,3.5,5.0,5.5,4.0,4.0
CL,15,CL15,Invictus,"A assault platform used when fleets must defeat destroyers and smaller quickly, relying on 4.5cm, 6.5cm.",DD,52,2.60,16,1,6,5,,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5.0,5.0,4.0,1.3,3.5,8.0,3.0,6.0,6.0,5,5,6,5.5,3.5,5.0,5.5,4.0,4.0
CM,1,CM01,Dominus,Dominus-class Carrier. Designed to counter cruisers with weapon batteries including 10cm.,CM,97,4.87,32,2,5,2,,,0,2,0,0,,0,0,0,0,0,0,0,0,0,24,6,0,0,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
CM,2,CM02,Aeternum,"The Aeternum-class operates under the carrier doctrine within fleet formations. Armament such as 4.5cm, 14cm allows it to pressure medium cruisers.",CM,98,4.89,32,3,5,4,,2,,,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
CM,3,CM03,Orion,"A heavy vessel hunter platform used when fleets must defeat light cruisers quickly, relying on 6.5cm, 14cm.",CL,98,4.89,32,2,5,4,,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
CM,4,CM04,Helios,"Helios-class Linebreaker. Designed to counter capital ships with weapon batteries including 4.5cm, 6.5cm, 50cm.",T,105,5.27,32,2,5,3,0,1,1,,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CM,5,CM05,Atlas,"The Atlas-class operates under the heavy vessel hunter doctrine within fleet formations. Armament such as 4.5cm, 10cm, 14cm allows it to pressure medium cruisers.",CM,99,4.96,32,1,5,4,,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
CM,6,CM06,Javelin,"A linebreaker platform used when fleets must defeat capital ships quickly, relying on 2.5cm, 4.5cm, 50kg.",T,113,5.64,32,2,5,4,1,2,,,,,,,,4,4,4,,,1,,,,,,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
CM,7,CM07,Aurora,"Aurora-class Carrier. Effective against Light armored vessels with weapon batteries including 2.5cm, 6.5cm, 14cm.",CL,98,4.89,32,2,7,2,5,,3,0,2,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
CM,8,CM08,Vesper,The Vesper-class operates under the carrier doctrine within fleet formations. Armament such as 4.5cm allows it to pressure light cruisers.,CL,97,4.85,32,0,5,4,,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,40,0,0,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
CM,9,CM09,Nova,"A assault platform used when fleets must defeat destroyers and smaller quickly, relying on 4.5cm, 6.5cm, 10cm.",DD,98,4.88,32,3,5,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
CM,10,CM10,Astra,"Astra-class Escort. Designed to counter gunships and heavy fighters with weapon batteries including 2.5cm, 14cm.",GS,98,4.89,32,1,5,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
CM,11,CM11,Caelum,The Caelum-class operates under the carrier doctrine within fleet formations. Armament such as 2.5cm allows it to screen interceptors and light bombers.,FL,97,4.85,32,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CM,12,CM12,Corona,"A escort platform used when fleets must defeat heavy fighters and gunships quickly, relying on 4.5cm.",FH,97,4.85,32,2,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
CM,13,CM13,Pax,Pax-class Escort. Designed to counter heavy fighters and gunships with weapon batteries including 4.5cm.,FH,97,4.85,32,2,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3.0,3.0,2.4,0.8,2.1,3.0,1.8,3.6,3.6,3,3,4,2.7,2.1,3.0,2.7,2.4,2.4
DD,1,DD01,Virtus,"The Virtus-class operates under the linebreaker doctrine within fleet formations. Armament such as 100kg, 1/2kt allows it to pressure capital ships.",T,29,1.43,8,,6,6,,,,,,,,,,,1,2,,,,,,,,,6.0,6.0,4.8,1.5,4.2,11.4,3.6,7.2,7.2,6,6,7,7.2,4.2,6.0,7.2,4.8,4.8
DD,2,DD02,Valor,"A heavy vessel hunter platform used when fleets must defeat light cruisers quickly, relying on 2.5cm.",CL,24,1.20,8,,7,2,3,,,,,,,,,,,,,,1,1,,,,,2.0,2.0,1.6,0.5,1.4,1.4,1.2,2.4,2.4,2,2,2,1.6,1.4,2.0,1.6,1.6,1.6
DD,3,DD03,Sentinel,"Sentinel-class Linebreaker. Effective against capital ships with weapon batteries including 2.5cm, 4.5cm, 1/2kt.",T,26,1.28,8,,6,9,1,1,,,,,,,,,,1,,,,,,,,,9.0,9.0,7.2,2.3,6.3,25.2,5.4,10.8,10.8,9,9,11,13.5,6.3,9.0,13.5,7.2,7.2
DD,4,DD04,Guardian,The Guardian-class operates under the heavy vessel hunter doctrine within fleet formations. Armament such as 14cm allows it to harass heavy and medium cruisers.,CH,25,1.24,8,,6,4,,,,,2,,,,,,,,,,,,,,,,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
DD,5,DD05,Harbinger,"A heavy vessel hunter platform used when fleets must defeat medium cruisers quickly, relying on 4.5cm, 6.5cm, 14cm.",CM,24,1.22,8,,6,4,,1,2,,1,,,,,,,,,,,,,,,,4.0,4.0,3.2,1.0,2.8,5.2,2.4,4.8,4.8,4,4,5,4.0,2.8,4.0,4.0,3.2,3.2
DD,6,DD06,Phalanx,"Phalanx-class Heavy vessel Hunter. Effective against Light armored vessels with weapon batteries including 2.5cm, 4.5cm.",CL,24,1.20,8,1,6,6,7,2,,,,,,,,,,,,,,,,,,,6.0,6.0,4.8,1.5,4.2,11.4,3.6,7.2,7.2,6,6,7,7.2,4.2,6.0,7.2,4.8,4.8
DD,7,DD07,Bastion,The Bastion-class operates under the escort doctrine within fleet formations. Armament such as 2.5cm allows it to pressure heavy fighters and gunships.,FH,24,1.20,8,,6,6,3,,,,,,,,,,,,,,2,,,,,,6.0,6.0,4.8,1.5,4.2,11.4,3.6,7.2,7.2,6,6,7,7.2,4.2,6.0,7.2,4.8,4.8
DD,8,DD08,Legion,"A heavy vessel hunter platform used to provide flexible, quick support against light cruisers, relying on 2.5cm, 4.5cm, 6.5cm lasers.",CL,24,1.21,8,,6,6,2,1,1,1,,,,,,,,,,,,,,,,,6.0,6.0,4.8,1.5,4.2,11.4,3.6,7.2,7.2,6,6,7,7.2,4.2,6.0,7.2,4.8,4.8
DD,9,DD09,Centurion,Centurion-class Escort. Designed to counter gunships and heavy fighters with weapon batteries including 4.5cm.,GS,24,1.20,8,,6,6,,2,,,,,,,,,,,3,,,,,,,,6.0,6.0,4.8,1.5,4.2,11.4,3.6,7.2,7.2,6,6,7,7.2,4.2,6.0,7.2,4.8,4.8
FH,1,FH01,Praesidium,The Praesidium-class serves within the linebreaker doctrine within fleet formations. Armament such as 4.5cm allows it to pressure capital ships.,T,5,0.25,2,,0,9,,,,,,,,,,,2,,,,,,,,,,9.0,9.0,7.2,2.3,6.3,25.2,5.4,10.8,10.8,9,9,11,13.5,6.3,9.0,13.5,7.2,7.2
FH,2,FH02,Scutum,"A escort platform used when fleets must defeat gunships quickly, relying on 2.5cm.",GS,2,0.10,2,,0,9,2,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9.0,7.2,2.3,6.3,25.2,5.4,10.8,10.8,9,9,11,13.5,6.3,9.0,13.5,7.2,7.2
FL,1,FL01,Velites,Velites-class Escort. Effective against FL threats with weapon batteries including 2.5cm.,FL,1,0.05,1,,,14,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,14.0,11.2,3.5,9.8,60.2,8.4,16.8,16.8,14,14,17,28.0,9.8,14.0,28.0,11.2,11.2
FL,2,FL02,Arbiter,The Arbiter-class operates under the heavy vessel hunter doctrine within fleet formations. Armament such as 100kg allows it to pressure heavy and medium cruisers.,CH,2,0.12,1,,,5,0,,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,5.0,5.0,4.0,1.3,3.5,8.0,3.0,6.0,6.0,5,5,6,5.5,3.5,5.0,5.5,4.0,4.0
GS,1,GS01,Executor,A linebreaker platform armers with a 20cm laser used in mass to overwhelm capital ships.,BB,12,0.58,4,,,6,,,,,,1,,,,0,0,,0,0,0,0,0,0,0,0,6.0,6.0,4.8,1.5,4.2,11.4,3.6,7.2,7.2,6,6,7,7.2,4.2,6.0,7.2,4.8,4.8
GS,3,GS03,Raptor,"The Raptor-class Linebreaker relies on cover to get past initial laser fire and deliver 100kg, 1/2kt missiles against capital ships",BB,14,0.70,4,,,8,,,,,,,,,,,1,1,,,,,,,,,8.0,8.0,6.4,2.0,5.6,20.0,4.8,9.6,9.6,8,8,10,11.2,5.6,8.0,11.2,6.4,6.4
GS,4,GS04,Tempest,The Tempest-class serves within the heavy vessel hunter doctrine within fleet formations. Armament such as 4.5cm allows it to pressure light cruisers.,CL,11,0.55,4,,,13,,2,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,10.4,3.3,9.1,52.0,7.8,15.6,15.6,13,13,16,24.7,9.1,13.0,24.7,10.4,10.4
GS,5,GS05,Comet,"A assault platform used when fleets must defeat destroyers and smaller quickly, relying on 2.5cm, 4.5cm.",DD,11,0.55,4,1,,8,5,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,8.0,8.0,6.4,2.0,5.6,20.0,4.8,9.6,9.6,8,8,10,11.2,5.6,8.0,11.2,6.4,6.4
GS,5,GS05,Solaris,Solaris-class Assault. Designed to counter destroyers with weapon batteries including 2.5cm.,DD,11,0.55,4,,,8,2,,,,,,,,,,,,3,,,,,,,,8.0,8.0,6.4,2.0,5.6,20.0,4.8,9.6,9.6,8,8,10,11.2,5.6,8.0,11.2,6.4,6.4
GS,6,GS06,Imperium,"The Imperium-class operates under the heavy vessel hunter doctrine within fleet formations. Armament such as 10cm, 50kg allows it to pressure medium cruisers.",CM,12,0.61,4,,,8,,,,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,8.0,8.0,6.4,2.0,5.6,20.0,4.8,9.6,9.6,8,8,10,11.2,5.6,8.0,11.2,6.4,6.4
T,1,T01,Aquilae,"A linebreaker platform used when fleets must defeat capital ships quickly, relying on 4.5cm, 28cm, 50cm.",T,415,20.75,256,4,3,1,,3,,,,,3,8,,,,2,,,,,,,,,1.0,1.0,0.8,0.3,0.7,0.4,0.6,1.2,1.2,1,1,1,0.7,0.7,1.0,0.7,0.8,0.8
T,2,T02,Dominion,Dominion-class Carrier. Designed to counter cruisers with weapon batteries including 10cm.,CM,404,20.22,256,6,3,1,,,,2,,,,,0,0,0,0,0,0,0,0,60,24,0,0,1.0,1.0,0.8,0.3,0.7,0.4,0.6,1.2,1.2,1,1,1,0.7,0.7,1.0,0.7,0.8,0.8
T,3,T03,Aeternis,"The Aeternis-class operates under the carrier doctrine within fleet formations. Armament such as 4.5cm, 14cm, 50cm allows it to pressure light cruisers.",CL,408,20.38,256,5,2,1,,4,,,6,,,2,,,,,,3,6,1,12,6,4,2,1.0,1.0,0.8,0.3,0.7,0.4,0.6,1.2,1.2,1,1,1.2,0.7,0.7,1.0,0.7,0.8,0.8
